,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
3865,MOA-2009-BLG-387L b,18561.0,2.6 Jupiters,,2010,Gas Giant,1.18 x Jupiter,1.8 AU,5.4 years,0.0
3866,MOA-2010-BLG-073L b,9134.0,11 Jupiters,,2012,Gas Giant,1.11 x Jupiter,1.21 AU,3.3 years,0.0
3867,MOA-2010-BLG-117L b,11417.0,0.54 Jupiters,,2018,Gas Giant,1.27 x Jupiter,2.9 AU,6.5 years,0.0
3868,MOA-2010-BLG-328L b,2642.0,9.2 Earths,,2013,Neptune-like,0.266 x Jupiter,0.92 AU,2.7 years,0.0
3869,MOA-2010-BLG-353L b,20975.0,0.27 Jupiters,,2015,Gas Giant,0.993 x Jupiter,1.72 AU,5.3 years,0.0
3870,MOA-2010-BLG-477L b,7503.0,1.5 Jupiters,,2012,Gas Giant,1.21 x Jupiter,2.0 AU,3.5 years,0.0
3871,MOA-2011-BLG-028L b,24074.0,30 Earths,,2016,Neptune-like,0.535 x Jupiter,4.14 AU,9.7 years,0.0
3872,MOA-2011-BLG-262L b,22834.0,17 Earths,,2014,Neptune-like,0.383 x Jupiter,0.95 AU,2.7 years,0.0
3873,MOA-2011-BLG-291L b,14353.0,18 Earths,,2018,Neptune-like,0.396 x Jupiter,0.69 AU,1.5 years,0.0
3874,MOA-2011-BLG-293L b,25183.0,4.8 Jupiters,,2012,Gas Giant,1.15 x Jupiter,1.1 AU,1.5 years,0.0
3875,MOA-2011-BLG-322L b,24661.0,11.6 Jupiters,,2013,Gas Giant,1.11 x Jupiter,4.3 AU,14.3 years,0.0
3876,MOA-2012-BLG-006L b,17289.0,8.4 Jupiters,,2017,Gas Giant,1.12 x Jupiter,10.2 AU,46.6 years,0.0
3877,MOA-2012-BLG-505L b,23519.0,6.7 Earths,,2017,Neptune-like,0.221 x Jupiter,0.9 AU,2.7 years,0.0
3878,MOA-2013-BLG-605L b,,3.2 Earths,,2016,Super Earth,1.6 x Earth,0.94 AU,5.3 years,0.0
3879,MOA-2015-BLG-337L b,23160.0,33.7 Earths,,2018,Neptune-like,0.572 x Jupiter,0.24 AU,429.4 days,0.0
3880,MOA-2016-BLG-227L b,21203.0,2.8 Jupiters,,2017,Gas Giant,1.18 x Jupiter,1.67 AU,4 years,0.0
3881,MOA-2016-BLG-319L b,22182.0,0.62 Jupiters,,2018,Gas Giant,1.26 x Jupiter,0.95 AU,2.4 years,0.0
3882,MOA-bin-1L b,16636.0,3.7 Jupiters,,2012,Gas Giant,1.16 x Jupiter,8.3 AU,27.6 years,0.0
3883,MOA-bin-29 b,23225.0,0.6 Jupiters,,2019,Gas Giant,1.26 x Jupiter,0.48 AU,1.9 years,0.0
3884,Mu Leonis b,106.0,2.4 Jupiters,3.88,2014,Gas Giant,1.18 x Jupiter,1.1 AU,357.8 days,0.09
3885,MXB 1658-298 b,,23.7 Jupiters,,2017,Gas Giant,1.07 x Jupiter,1.613 AU,2.1 years,0.0
3886,NGC 2682 Sand 364 b,2730.0,6.69 Jupiters,9.8,2014,Gas Giant,1.13 x Jupiter,0.53 AU,121.7 days,0.35
3887,NGC 2682 Sand 978 b,2747.0,2.18 Jupiters,9.71,2017,Gas Giant,1.19 x Jupiter,Unknown,1.4 years,0.16
3888,NGC 2682 YBP 1194 b,2922.0,0.32 Jupiters,14.6,2014,Gas Giant,1.1 x Jupiter,Unknown,7 days,0.3
3889,NGC 2682 YBP 1514 b,3064.0,0.4 Jupiters,14.77,2014,Gas Giant,1.25 x Jupiter,Unknown,5.1 days,0.28
3890,NGC 2682 YBP 401 b,2777.0,0.46 Jupiters,13.7,2016,Gas Giant,1.27 x Jupiter,Unknown,4.1 days,0.15
3891,NGTS-10 b,1059.0,2.162 Jupiters,14.34,2020,Gas Giant,1.205 x Jupiter,0.0143 AU,0.8 days,0.0
3892,NGTS-11 b,625.0,0.344 Jupiters,12.456,2020,Gas Giant,0.817 x Jupiter,0.201 AU,35.5 days,0.13
3893,NGTS-1 b,731.0,0.812 Jupiters,15.524,2017,Gas Giant,1.33 x Jupiter,0.0326 AU,2.6 days,0.02
3894,NGTS-2 b,1175.0,0.74 Jupiters,10.961,2018,Gas Giant,1.595 x Jupiter,0.063 AU,4.5 days,0.0
3895,NGTS-3 A b,3295.0,2.38 Jupiters,14.642,2018,Gas Giant,1.48 x Jupiter,0.023 AU,1.7 days,0.0
3896,NGTS-4 b,922.0,20.6 Earths,12.909,2019,Neptune-like,0.284 x Jupiter,0.019 AU,1.3 days,0.0
3897,NGTS-5 b,1010.0,0.229 Jupiters,13.526,2019,Gas Giant,1.136 x Jupiter,0.0382 AU,3.4 days,0.0
3898,NGTS-6 b,1015.0,1.339 Jupiters,14.087,2019,Gas Giant,1.326 x Jupiter,0.01677 AU,0.9 days,0.0
3899,NGTS-8 b,1417.0,0.93 Jupiters,13.68,2019,Gas Giant,1.09 x Jupiter,0.035 AU,2.5 days,0.01
